88279,0.17871
88267,0.1095
88253,0.049062
88238,-0.0029051
88221,-0.04733
88204,-0.082283
88185,-0.11138
88166,-0.14221
88146,-0.18454
88126,-0.24688
88105,-0.32114
88083,-0.39807
88062,-0.4828
88041,-0.5781
88021,-0.67818
88003,-0.78858
87985,-0.91647
87969,-1.0458
87954,-1.161
87940,-1.2601
87925,-1.3388
87911,-1.3912
87897,-1.4145
87883,-1.4072
87869,-1.368
87855,-1.2977
87843,-1.1848
87830,-1.0107
87819,-0.77605
87808,-0.49356
87798,-0.16739
87788,0.19173
87779,0.56025
87771,0.91098
87763,1.2268
87755,1.4953
87747,1.7072
87739,1.8605
87731,1.9602
87722,2.0183
87712,2.0435
87700,2.0359
87688,1.9924
87673,1.9241
87658,1.8463
87642,1.7627
87624,1.6801
87605,1.5941
87585,1.5018
87564,1.4131
87543,1.3139
87521,1.18
87500,0.99946
87479,0.76822
87458,0.48907
87437,0.18034
87417,-0.13561
87398,-0.44489
87380,-0.73899
87364,-1.0075
87347,-1.2495
87332,-1.4637
87317,-1.6464
87302,-1.8008
87288,-1.9137
87274,-1.9615
87260,-1.9223
87246,-1.7916
87232,-1.5801
87218,-1.3084
87203,-1.0292
87188,-0.79023
87172,-0.58269
87157,-0.39507
87142,-0.23492
87127,-0.091623
87111,0.034065
87096,0.13407
87080,0.20142
87063,0.23862
87047,0.27216
87030,0.32205
87012,0.39963
86995,0.51549
86978,0.67109
86961,0.84955
86943,1.0255
86926,1.1861
86908,1.3254
86890,1.4326
86872,1.5024
86853,1.529
86834,1.513
86815,1.4674
86796,1.3938
86777,1.287
86759,1.1399
86742,0.95251
86725,0.73008
86709,0.4856
86694,0.23248
86680,-0.01779
86667,-0.25468
86655,-0.45217
86644,-0.57007
86634,-0.59463
86625,-0.53549
86617,-0.41455
86609,-0.25037
86601,-0.06486
86595,0.11784
86590,0.29152
86585,0.45122
86581,0.58827
86577,0.69225
86573,0.76018
86569,0.80553
86563,0.82071
86556,0.80342
86548,0.76023
86539,0.68711
86529,0.59494
86519,0.48519
86509,0.3386
86499,0.13538
86490,-0.11714
86480,-0.39518
86472,-0.67666
86463,-0.93868
86454,-1.166
86446,-1.3582
86437,-1.5159
86428,-1.6306
86418,-1.7082
86409,-1.756
86400,-1.7758
86392,-1.7833
86385,-1.7752
86380,-1.739
86376,-1.6906
86374,-1.6282
86373,-1.5242
86373,-1.3644
86376,-1.1429
86379,-0.86567
86385,-0.55728
86391,-0.24744
86399,0.030276
86408,0.23905
86418,0.37553
86429,0.46552
86441,0.51373
86454,0.52391
86467,0.52451
86482,0.53558
86496,0.55243
86510,0.58065
86524,0.63003
86536,0.69792
86547,0.78081
86557,0.87054
86566,0.95986
86574,1.0361
86580,1.0864
86587,1.1015
86592,1.0954
86597,1.0802
86601,1.0504
86604,1.0108
86605,0.9611
86607,0.89371
86607,0.80234
86607,0.67996
86605,0.5163
86603,0.30129
86601,0.029115
86599,-0.28934
86597,-0.6286
86595,-0.96424
86596,-1.2707
86598,-1.5312
86602,-1.7375
86609,-1.8606
86617,-1.8754
86628,-1.765
86640,-1.5331
86653,-1.2118
86668,-0.82765
86684,-0.42145
86702,-0.03549
86721,0.30848
86741,0.60245
86763,0.84228
86785,1.0226
86808,1.1417
86830,1.2007
86852,1.2073
86874,1.1773
86895,1.1241
86916,1.0587
86937,0.99203
86958,0.9206
86978,0.83373
86998,0.71979
87018,0.57184
87036,0.39444
87053,0.20209
87071,0.0066004
87088,-0.18144
87105,-0.34698
87121,-0.47973
87138,-0.57972
87154,-0.65072
87169,-0.6875
87184,-0.69007
87198,-0.66239
87211,-0.60782
87225,-0.53054
87238,-0.45265
87251,-0.40686
87266,-0.37842
87281,-0.34887
87298,-0.32994
87316,-0.31149
87336,-0.27604
87357,-0.22941
87378,-0.19546
87401,-0.17124
87424,-0.14236
87449,-0.10122
87474,-0.04163
87500,0.032533
87527,0.11902
87553,0.21661
87580,0.32795
87605,0.44258
87631,0.54301
87655,0.64115
87678,0.76024
87701,0.8998
87722,1.0488
87742,1.1934
87762,1.3214
87781,1.413
87799,1.443
87815,1.3917
87831,1.2572
87845,1.0469
87859,0.78197
87872,0.49456
87885,0.20701
87897,-0.066384
87908,-0.31624
87920,-0.53122
87932,-0.70676
87944,-0.84869
87956,-0.96612
87968,-1.0773
87981,-1.1965
87993,-1.3226
88007,-1.4645
88021,-1.6202
88035,-1.7713
88050,-1.8901
88065,-1.9399
88080,-1.8974
88095,-1.7612
88109,-1.552
88123,-1.2898
88136,-0.9857
88147,-0.66366
88157,-0.34491
88165,-0.040065
88170,0.24023
88174,0.48701
88177,0.69041
88178,0.85578
88179,0.99861
88180,1.1293
88181,1.2506
88182,1.3571
88182,1.4504
